cdf,batch_num_prefill_tokens,replica
0.62,497.7794014558298,1
0.63,497.7794014558298,1
0.64,497.7794014558298,1
0.65,497.7794014558298,1
0.66,497.7794014558298,1
0.67,497.7794014558298,1
0.68,497.7794014558298,1
0.6900000000000001,497.7794014558298,1
0.7000000000000001,497.7794014558298,1
0.71,497.7794014558298,1
0.72,497.7794014558298,1
0.73,497.7794014558298,1
0.74,497.7794014558298,1
0.75,497.7794014558298,1
0.76,507.8355509801901,1
0.77,507.8355509801901,1
0.78,507.8355509801901,1
0.79,507.8355509801901,1
0.8,507.8355509801901,1
0.81,507.8355509801901,1
0.8200000000000001,507.8355509801901,1
0.8300000000000001,507.8355509801901,1
0.84,507.8355509801901,1
0.85,507.8355509801901,1
0.86,507.8355509801901,1
0.87,507.8355509801901,1
0.88,507.8355509801901,1
0.89,507.8355509801901,1
0.9,507.8355509801901,1
0.91,507.8355509801901,1
0.92,507.8355509801901,1
0.93,507.8355509801901,1
0.9400000000000001,507.8355509801901,1
0.9500000000000001,507.8355509801901,1
0.96,507.8355509801901,1
0.97,507.8355509801901,1
0.98,507.8355509801901,1
0.99,507.8355509801901,1
1.0,507.8355509801901,1
0.0,0.0,2
0.01,0.0,2
0.02,0.0,2
0.03,0.0,2
0.04,0.0,2
0.05,0.0,2
0.06,0.0,2
0.07,0.0,2
0.08,0.0,2
0.09,0.0,2
0.1,0.0,2
0.11,0.0,2
0.12,487.92238360521986,2
0.13,497.7794014558298,2
0.14,497.7794014558298,2
0.15,497.7794014558298,2
0.16,497.7794014558298,2
0.17,497.7794014558298,2
0.18,497.7794014558298,2
0.19,497.7794014558298,2
0.2,497.7794014558298,2
0.21,497.7794014558298,2
0.22,497.7794014558298,2
0.23,497.7794014558298,2
0.24,497.7794014558298,2
0.25,497.7794014558298,2
0.26,497.7794014558298,2
0.27,497.7794014558298,2
0.28,497.7794014558298,2
0.29,497.7794014558298,2
0.3,497.7794014558298,2
0.31,497.7794014558298,2
0.32,497.7794014558298,2
0.33,497.7794014558298,2
0.34,497.7794014558298,2
0.35000000000000003,497.7794014558298,2
0.36,497.7794014558298,2
0.37,497.7794014558298,2
0.38,497.7794014558298,2
0.39,497.7794014558298,2
0.4,497.7794014558298,2
0.41000000000000003,497.7794014558298,2
0.42,497.7794014558298,2
0.43,497.7794014558298,2
0.44,497.7794014558298,2
0.45,497.7794014558298,2
0.46,497.7794014558298,2
0.47000000000000003,497.7794014558298,2
0.48,497.7794014558298,2
0.49,497.7794014558298,2
0.5,497.7794014558298,2
0.51,497.7794014558298,2
0.52,497.7794014558298,2
0.53,497.7794014558298,2
0.54,497.7794014558298,2
0.55,497.7794014558298,2
0.56,497.7794014558298,2
0.5700000000000001,497.7794014558298,2
0.58,497.7794014558298,2
0.59,497.7794014558298,2
0.6,497.7794014558298,2
0.61,507.8355509801901,2
0.62,507.8355509801901,2
0.63,507.8355509801901,2
0.64,507.8355509801901,2
0.65,507.8355509801901,2
0.66,507.8355509801901,2
0.67,507.8355509801901,2
0.68,507.8355509801901,2
0.6900000000000001,507.8355509801901,2
0.7000000000000001,507.8355509801901,2
0.71,507.8355509801901,2
0.72,507.8355509801901,2
0.73,507.8355509801901,2
0.74,507.8355509801901,2
0.75,507.8355509801901,2
0.76,507.8355509801901,2
0.77,507.8355509801901,2
0.78,507.8355509801901,2
0.79,507.8355509801901,2
0.8,507.8355509801901,2
0.81,507.8355509801901,2
0.8200000000000001,507.8355509801901,2
0.8300000000000001,507.8355509801901,2
0.84,507.8355509801901,2
0.85,507.8355509801901,2
0.86,507.8355509801901,2
0.87,507.8355509801901,2
0.88,507.8355509801901,2
0.89,507.8355509801901,2
0.9,507.8355509801901,2
0.91,507.8355509801901,2
0.92,507.8355509801901,2
0.93,507.8355509801901,2
0.9400000000000001,507.8355509801901,2
0.9500000000000001,507.8355509801901,2
0.96,507.8355509801901,2
0.97,507.8355509801901,2
0.98,507.8355509801901,2
0.99,507.8355509801901,2
1.0,507.8355509801901,2
0.0,0.0,3
0.01,0.0,3
0.02,0.0,3
0.03,0.0,3
0.04,0.0,3
0.05,0.0,3
0.06,0.0,3
0.07,0.0,3
0.08,0.0,3
0.09,0.0,3
0.1,0.0,3
0.11,0.0,3
0.12,0.0,3
0.13,0.0,3
0.14,0.0,3
0.15,0.0,3
0.16,0.0,3
0.17,0.0,3
0.18,0.0,3
0.19,0.0,3
0.2,0.0,3
0.21,0.0,3
0.22,0.0,3
0.23,0.0,3
0.24,487.92238360521986,3
0.25,497.7794014558298,3
0.26,497.7794014558298,3
0.27,497.7794014558298,3
0.28,497.7794014558298,3
0.29,497.7794014558298,3
0.3,497.7794014558298,3
0.31,497.7794014558298,3
0.32,497.7794014558298,3
0.33,497.7794014558298,3
0.34,497.7794014558298,3
0.35000000000000003,497.7794014558298,3
0.36,497.7794014558298,3
0.37,497.7794014558298,3
0.38,497.7794014558298,3
0.39,497.7794014558298,3
0.4,497.7794014558298,3
0.41000000000000003,497.7794014558298,3
0.42,497.7794014558298,3
0.43,497.7794014558298,3
0.44,497.7794014558298,3
0.45,497.7794014558298,3
0.46,497.7794014558298,3
0.47000000000000003,497.7794014558298,3
0.48,497.7794014558298,3
0.49,497.7794014558298,3
0.5,497.7794014558298,3
0.51,497.7794014558298,3
0.52,497.7794014558298,3
0.53,497.7794014558298,3
0.54,497.7794014558298,3
0.55,497.7794014558298,3
0.56,497.7794014558298,3
0.5700000000000001,497.7794014558298,3
0.58,497.7794014558298,3
0.59,497.7794014558298,3
0.6,497.7794014558298,3
0.61,497.7794014558298,3
0.62,497.7794014558298,3
0.63,497.7794014558298,3
0.64,497.7794014558298,3
0.65,497.7794014558298,3
0.66,497.7794014558298,3
0.67,497.7794014558298,3
0.68,497.7794014558298,3
0.6900000000000001,497.7794014558298,3
0.7000000000000001,497.7794014558298,3
0.71,497.7794014558298,3
0.72,497.7794014558298,3
0.73,497.7794014558298,3
0.74,497.7794014558298,3
0.75,497.7794014558298,3
0.76,497.7794014558298,3
0.77,497.7794014558298,3
0.78,507.8355509801901,3
0.79,507.8355509801901,3
0.8,507.8355509801901,3
0.81,507.8355509801901,3
0.8200000000000001,507.8355509801901,3
0.8300000000000001,507.8355509801901,3
0.84,507.8355509801901,3
0.85,507.8355509801901,3
0.86,507.8355509801901,3
0.87,507.8355509801901,3
0.88,507.8355509801901,3
0.89,507.8355509801901,3
0.9,507.8355509801901,3
0.91,507.8355509801901,3
0.92,507.8355509801901,3
0.93,507.8355509801901,3
0.9400000000000001,507.8355509801901,3
0.9500000000000001,507.8355509801901,3
0.96,507.8355509801901,3
0.97,507.8355509801901,3
0.98,507.8355509801901,3
0.99,507.8355509801901,3
1.0,507.8355509801901,3
